File,Date ,Size,Type
 74JourneyDataExtract06Sep2017-12Sep2017.csv,"Sep 20th 2017, 03:00:14 pm",24.28 MB,CSV file
 75JourneyDataExtract13Sep2017-19Sep2017.csv,"Sep 20th 2017, 03:00:32 pm",25.50 MB,CSV file
 76JourneyDataExtract20Sep2017-26Sep2017.csv,"Oct 31st 2017, 03:21:01 pm",27.74 MB,CSV file
 77JourneyDataExtract27Sep2017-03Oct2017.csv,"Oct 31st 2017, 03:21:17 pm",26.35 MB,CSV file
 78JourneyDataExtract04Oct2017-10Oct2017.csv,"Oct 31st 2017, 03:21:31 pm",27.51 MB,CSV file
 79JourneyDataExtract11Oct2017-17Oct2017.csv,"Oct 31st 2017, 03:21:44 pm",28.32 MB,CSV file
 7a.JourneyDataExtract28Jun15-11Jul15.csv,"Aug 24th 2016, 03:14:50 pm",69.56 MB,CSV file
 7b.JourneyDataExtract12Jul15-25Jul15.csv,"Aug 24th 2016, 03:15:05 pm",57.32 MB,CSV file
 80JourneyDataExtract18Oct2017-24Oct2017.csv,"Oct 31st 2017, 03:24:03 pm",23.39 MB,CSV file
 81JourneyDataExtract25Oct2017-31Oct2017.csv,"Dec 11th 2017, 10:44:36 am",25.26 MB,CSV file
 82JourneyDataExtract01Nov2017-07Nov2017.csv,"Dec 11th 2017, 10:45:00 am",24.12 MB,CSV file
 83JourneyDataExtract08Nov2017-14Nov2017.csv,"Dec 11th 2017, 10:45:29 am",21.68 MB,CSV file
 84JourneyDataExtract15Nov2017-21Nov2017.csv,"Dec 11th 2017, 10:45:45 am",21.63 MB,CSV file
 85JourneyDataExtract22Nov2017-28Nov2017.csv,"Dec 11th 2017, 10:46:00 am",21.05 MB,CSV file
 86JourneyDataExtract29Nov2017-05Dec2017.csv,"Dec 11th 2017, 10:46:21 am",19.70 MB,CSV file
 87JourneyDataExtract06Dec2017-12Dec2017.csv,"Feb 15th 2018, 11:49:40 am",16.11 MB,CSV file
 88JourneyDataExtract13Dec2017-19Dec2017.csv,"Feb 15th 2018, 11:49:52 am",15.70 MB,CSV file
 89JourneyDataExtract20Dec2017-26Dec2017.csv,"Feb 15th 2018, 11:50:03 am",13.31 MB,CSV file
 8a-Journey-Data-Extract-26Jul15-07Aug15.csv,"Oct 22nd 2015, 05:06:56 pm",59.61 MB,CSV file
 8b-Journey-Data-Extract-08Aug15-22Aug15.csv,"Oct 22nd 2015, 05:07:46 pm",62.71 MB,CSV file
 90JourneyDataExtract27Dec2017-02Jan2018.csv,"Feb 15th 2018, 11:50:14 am",8.38 MB,CSV file
 91JourneyDataExtract03Jan2018-09Jan2018.csv,"Feb 15th 2018, 11:50:24 am",16.01 MB,CSV file
 92JourneyDataExtract10Jan2018-16Jan2018.csv,"Feb 15th 2018, 11:50:31 am",18.62 MB,CSV file
 93JourneyDataExtract17Jan2018-23Jan2018.csv,"Feb 15th 2018, 11:50:45 am",17.59 MB,CSV file
 94JourneyDataExtract24Jan2018-30Jan2018.csv,"Feb 15th 2018, 11:51:02 am",19.32 MB,CSV file
 95JourneyDataExtract31Jan2018-06Feb2018.csv,"Feb 15th 2018, 11:51:15 am",17.62 MB,CSV file
 96JourneyDataExtract07Feb2018-13Feb2018.csv,"Feb 15th 2018, 11:51:30 am",17.07 MB,CSV file
 97JourneyDataExtract14Feb2018-20Feb2018.csv,"Apr 12th 2018, 10:43:34 am",18.70 MB,CSV file
 98JourneyDataExtract21Feb2018-27Feb2018.csv,"Apr 12th 2018, 10:43:47 am",17.24 MB,CSV file
 99JourneyDataExtract28Feb2018-06Mar2018.csv,"Apr 12th 2018, 10:44:22 am",11.65 MB,CSV file
 9a-Journey-Data-Extract-23Aug15-05Sep15.csv,"Oct 22nd 2015, 05:03:29 pm",43.18 MB,CSV file
 9b-Journey-Data-Extract-06Sep15-19Sep15.csv,"Oct 22nd 2015, 05:04:00 pm",50.96 MB,CSV file
